Аудио 1/32: 2631 слов, 600.084 секунд
Аудио 2/32: 2559 слов, 600.084 секунд
Аудио 3/32: 2477 слов, 600.084 секунд
Аудио 4/32: 2491 слов, 600.084 секунд
Аудио 5/32: 2627 слов, 600.084 секунд
Аудио 6/32: 2549 слов, 600.084 секунд
Аудио 7/32: 2484 слов, 600.084 секунд
Аудио 8/32: 2517 слов, 600.084 секунд
Аудио 9/32: 2458 слов, 600.084 секунд
Аудио 10/32: 2667 слов, 600.084 секунд
Аудио 11/32: 2545 слов, 600.084 секунд
Аудио 12/32: 2187 слов, 600.084 секунд
Аудио 13/32: 2633 слов, 600.084 секунд
Аудио 14/32: 2545 слов, 600.084 секунд
Аудио 15/32: 2608 слов, 600.084 секунд
Аудио 16/32: 2452 слов, 600.084 секунд
Аудио 17/32: 2591 слов, 600.084 секунд
Аудио 18/32: 2475 слов, 600.084 секунд
Аудио 19/32: 2522 слов, 600.084 секунд
Аудио 20/32: 2442 слов, 600.084 секунд
Аудио 21/32: 2280 слов, 600.084 секунд
Аудио 22/32: 2342 слов, 600.084 секунд
Аудио 23/32: 2425 слов, 600.084 секунд
Аудио 24/32: 1880 слов, 600.084 секунд
Аудио 25/32: 2362 слов, 600.084 секунд
Аудио 26/32: 2390 слов, 600.084 секунд
Аудио 27/32: 2369 слов, 600.084 секунд
Аудио 29/32: 2186 слов, 600.084 секунд
Аудио 28/32: 2251 слов, 600.084 секунд
Аудио 30/32: 2281 слов, 600.084 секунд
Аудио 31/32: 2382 слов, 600.084 секунд
Аудио 32/32: 198 слов, 39.528 секунд
Аудиодорожка распознана целиком: 75806 слов
